Detalle_ID|Factura|Num_Tracking|Categoria|Subcategoria|Producto_ID|Producto|Unidades|Precio_Unitario|Oferta_ID
27406|SO49181||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1
27431|SO49206||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1
27509|SO49284||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1
27407|SO49182||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27472|SO49247||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27537|SO49312||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27552|SO49327||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27612|SO49387||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27620|SO49395||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27638|SO49413||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27451|SO49226||Bikes|Road Bikes|88|Road-250 Red, 52|1|2443.35|1
27647|SO49422||Bikes|Road Bikes|88|Road-250 Red, 52|1|2443.35|1
27410|SO49185||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27456|SO49231||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27497|SO49272||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27499|SO49274||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27520|SO49295||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27589|SO49364||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1
27646|SO49421||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1
27468|SO49243||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27532|SO49307||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27587|SO49362||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27666|SO49441||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27414|SO49189||Bikes|Road Bikes|66|Road-650 Black, 48|1|782.99|1
27415|SO49190||Bikes|Road Bikes|95|Road-550-W Yellow, 40|1|1000.4375|1
27598|SO49373||Bikes|Road Bikes|95|Road-550-W Yellow, 40|1|1000.4375|1
27608|SO49383||Bikes|Road Bikes|95|Road-550-W Yellow, 40|1|1000.4375|1
27437|SO49212||Bikes|Road Bikes|97|Road-550-W Yellow, 44|1|1000.4375|1
