Detalle_ID|Factura|Num_Tracking|Categoria|Subcategoria|Producto_ID|Producto|Unidades|Precio_Unitario|Oferta_ID
27450|SO49225||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1
27560|SO49335||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1
27577|SO49352||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1
27563|SO49338||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27626|SO49401||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27444|SO49219||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27540|SO49315||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27571|SO49346||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27592|SO49367||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27642|SO49417||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27696|SO49450|2244-4827-B9|Bikes|Mountain Bikes|81|Mountain-200 Black, 46|2|1229.4589|1
27412|SO49187||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1
27446|SO49221||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1
27619|SO49394||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1
27455|SO49230||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27479|SO49254||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27634|SO49409||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27698|SO49450|2244-4827-B9|Bikes|Mountain Bikes|79|Mountain-200 Black, 38|3|1229.4589|1
27641|SO49416||Bikes|Road Bikes|66|Road-650 Black, 48|1|782.99|1
27689|SO49450|2244-4827-B9|Clothing|Caps|9|AWC Logo Cap|2|5.1865|1
27607|SO49382||Bikes|Road Bikes|95|Road-550-W Yellow, 40|1|1000.4375|1
27516|SO49291||Bikes|Road Bikes|97|Road-550-W Yellow, 44|1|1000.4375|1
27692|SO49450|2244-4827-B9|Clothing|Jerseys|12|Long-Sleeve Logo Jersey, L|5|28.8404|1
27453|SO49228||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1
27478|SO49253||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1
27588|SO49363||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1
27654|SO49429||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1
27686|SO49448|DF70-4762-8C|Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|1229.4589|1
27702|SO49450|2244-4827-B9|Bikes|Mountain Bikes|80|Mountain-200 Black, 42|6|1229.4589|1
27419|SO49194||Bikes|Road Bikes|63|Road-650 Black, 60|1|782.99|1
27457|SO49232||Bikes|Road Bikes|56|Road-650 Red, 58|1|782.99|1
27460|SO49235||Bikes|Road Bikes|56|Road-650 Red, 58|1|782.99|1
27622|SO49397||Bikes|Road Bikes|56|Road-650 Red, 58|1|782.99|1
27436|SO49211||Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2071.4196|1
27496|SO49271||Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2071.4196|1
27423|SO49198||Bikes|Road Bikes|67|Road-650 Black, 52|1|782.99|1
27506|SO49281||Bikes|Road Bikes|67|Road-650 Black, 52|1|782.99|1
27483|SO49258||Bikes|Road Bikes|86|Road-250 Red, 44|1|2443.35|1
27500|SO49275||Bikes|Road Bikes|86|Road-250 Red, 44|1|2443.35|1
27505|SO49280||Bikes|Road Bikes|86|Road-250 Red, 44|1|2443.35|1
27590|SO49365||Bikes|Road Bikes|86|Road-250 Red, 44|1|2443.35|1
27653|SO49428||Bikes|Road Bikes|86|Road-250 Red, 44|1|2443.35|1
27662|SO49437||Bikes|Road Bikes|61|Road-650 Red, 52|1|782.99|1
27498|SO49273||Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2071.4196|1
27549|SO49324||Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2071.4196|1
27697|SO49450|2244-4827-B9|Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|4|1242.8518|1
27490|SO49265||Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2071.4196|1
27690|SO49450|2244-4827-B9|Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|3|1242.8518|1
27461|SO49236||Bikes|Road Bikes|98|Road-550-W Yellow, 48|1|1000.4375|1
27470|SO49245||Bikes|Road Bikes|98|Road-550-W Yellow, 48|1|1000.4375|1
27543|SO49318||Bikes|Road Bikes|62|Road-650 Black, 58|1|782.99|1
27545|SO49320||Bikes|Road Bikes|90|Road-250 Black, 44|1|2181.5625|1
27611|SO49386||Bikes|Road Bikes|90|Road-250 Black, 44|1|2181.5625|1
27691|SO49450|2244-4827-B9|Bikes|Mountain Bikes|82|Mountain-300 Black, 38|1|647.994|1
27701|SO49450|2244-4827-B9|Bikes|Mountain Bikes|83|Mountain-300 Black, 40|6|647.994|1
27699|SO49450|2244-4827-B9|Bikes|Mountain Bikes|84|Mountain-300 Black, 44|5|647.994|1
27693|SO49450|2244-4827-B9|Bikes|Mountain Bikes|85|Mountain-300 Black, 48|2|647.994|1
27566|SO49341||Bikes|Road Bikes|94|Road-550-W Yellow, 38|1|1000.4375|1
27695|SO49450|2244-4827-B9|Components|Handlebars|106|ML Mountain Handlebars|2|33.7745|1
27688|SO49450|2244-4827-B9|Components|Wheels|121|ML Mountain Rear Wheel|3|141.615|1
27700|SO49450|2244-4827-B9|Components|Mountain Frames|129|ML Mountain Frame - Black, 48|3|209.256|1
27694|SO49450|2244-4827-B9|Clothing|Gloves|159|Full-Finger Gloves, M|7|22.794|1
27685|SO49448|DF70-4762-8C|Clothing|Gloves|160|Full-Finger Gloves, L|2|22.794|1
27703|SO49451|964F-42B7-B0|Bikes|Mountain Bikes|80|Mountain-200 Black, 42|2|1229.4589|1
