Detalle_ID|Factura|Num_Tracking|Categoria|Subcategoria|Producto_ID|Producto|Unidades|Precio_Unitario|Oferta_ID
27427|SO49202||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1
27433|SO49208||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1
27565|SO49340||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1
27610|SO49385||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1
27669|SO49444|200A-4484-AF|Bikes|Road Bikes|91|Road-250 Black, 48|4|1308.9375|1
27432|SO49207||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27515|SO49290||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27573|SO49348||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27581|SO49356||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27597|SO49372||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27650|SO49425||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2
27408|SO49183||Bikes|Road Bikes|88|Road-250 Red, 52|1|2443.35|1
27411|SO49186||Bikes|Road Bikes|88|Road-250 Red, 52|1|2443.35|1
27426|SO49201||Bikes|Road Bikes|88|Road-250 Red, 52|1|2443.35|1
27621|SO49396||Bikes|Road Bikes|88|Road-250 Red, 52|1|2443.35|1
27491|SO49266||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27507|SO49282||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27562|SO49337||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27570|SO49345||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27580|SO49355||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27628|SO49403||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2
27501|SO49276||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1
27541|SO49316||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1
27430|SO49205||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27449|SO49224||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27503|SO49278||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27518|SO49293||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27522|SO49297||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27556|SO49331||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27585|SO49360||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1
27525|SO49300||Bikes|Road Bikes|95|Road-550-W Yellow, 40|1|1000.4375|1
27416|SO49191||Bikes|Road Bikes|97|Road-550-W Yellow, 44|1|1000.4375|1
27438|SO49213||Bikes|Road Bikes|97|Road-550-W Yellow, 44|1|1000.4375|1
27473|SO49248||Bikes|Road Bikes|97|Road-550-W Yellow, 44|1|1000.4375|1
27448|SO49223||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1
27484|SO49259||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1
27486|SO49261||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1
27603|SO49378||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1
27604|SO49379||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1
27536|SO49311||Bikes|Road Bikes|63|Road-650 Black, 60|1|782.99|1
27482|SO49257||Bikes|Road Bikes|56|Road-650 Red, 58|1|782.99|1
27421|SO49196||Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2071.4196|1
27558|SO49333||Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2071.4196|1
27600|SO49375||Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2071.4196|1
27601|SO49376||Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2071.4196|1
27609|SO49384||Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2071.4196|1
27475|SO49250||Bikes|Road Bikes|67|Road-650 Black, 52|1|782.99|1
27675|SO49445|943B-43E1-AE|Bikes|Road Bikes|67|Road-650 Black, 52|1|469.794|1
27683|SO49446|1C19-4187-94|Bikes|Road Bikes|67|Road-650 Black, 52|5|469.794|1
27670|SO49444|200A-4484-AF|Components|Road Frames|19|LL Road Frame - Black, 58|1|183.9382|1
27564|SO49339||Bikes|Road Bikes|86|Road-250 Red, 44|1|2443.35|1
27636|SO49411||Bikes|Road Bikes|86|Road-250 Red, 44|1|2443.35|1
27428|SO49203||Bikes|Road Bikes|61|Road-650 Red, 52|1|782.99|1
27575|SO49350||Bikes|Road Bikes|61|Road-650 Red, 52|1|782.99|1
27671|SO49444|200A-4484-AF|Components|Road Frames|23|LL Road Frame - Red, 48|1|202.332|1
27477|SO49252||Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2071.4196|1
27508|SO49283||Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2071.4196|1
27557|SO49332||Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2071.4196|1
27672|SO49444|200A-4484-AF|Components|Road Frames|27|LL Road Frame - Red, 62|1|202.332|1
27510|SO49285||Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2071.4196|1
27550|SO49325||Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2071.4196|1
27663|SO49438||Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2071.4196|1
27458|SO49233||Bikes|Road Bikes|58|Road-650 Red, 62|1|782.99|1
27678|SO49446|1C19-4187-94|Bikes|Road Bikes|58|Road-650 Red, 62|7|469.794|1
27441|SO49216||Bikes|Road Bikes|59|Road-650 Red, 44|1|782.99|1
27480|SO49255||Bikes|Road Bikes|59|Road-650 Red, 44|1|782.99|1
27676|SO49445|943B-43E1-AE|Bikes|Road Bikes|59|Road-650 Red, 44|3|469.794|1
27681|SO49446|1C19-4187-94|Bikes|Road Bikes|59|Road-650 Red, 44|4|469.794|1
27442|SO49217||Bikes|Road Bikes|92|Road-250 Black, 52|1|2181.5625|1
27476|SO49251||Bikes|Road Bikes|92|Road-250 Black, 52|1|2181.5625|1
27561|SO49336||Bikes|Road Bikes|92|Road-250 Black, 52|1|2181.5625|1
27591|SO49366||Bikes|Road Bikes|92|Road-250 Black, 52|1|2181.5625|1
27629|SO49404||Bikes|Road Bikes|92|Road-250 Black, 52|1|2181.5625|1
27660|SO49435||Bikes|Road Bikes|92|Road-250 Black, 52|1|2181.5625|1
27680|SO49446|1C19-4187-94|Bikes|Road Bikes|60|Road-650 Red, 48|6|469.794|1
27632|SO49407||Bikes|Road Bikes|98|Road-550-W Yellow, 48|1|1000.4375|1
27645|SO49420||Bikes|Road Bikes|98|Road-550-W Yellow, 48|1|1000.4375|1
27462|SO49237||Bikes|Road Bikes|96|Road-550-W Yellow, 42|1|1000.4375|1
27584|SO49359||Bikes|Road Bikes|96|Road-550-W Yellow, 42|1|1000.4375|1
27633|SO49408||Bikes|Road Bikes|57|Road-650 Red, 60|1|782.99|1
27677|SO49445|943B-43E1-AE|Bikes|Road Bikes|57|Road-650 Red, 60|2|469.794|1
27679|SO49446|1C19-4187-94|Bikes|Road Bikes|57|Road-650 Red, 60|5|469.794|1
27656|SO49431||Bikes|Road Bikes|62|Road-650 Black, 58|1|782.99|1
27682|SO49446|1C19-4187-94|Bikes|Road Bikes|62|Road-650 Black, 58|2|469.794|1
27658|SO49433||Bikes|Road Bikes|90|Road-250 Black, 44|1|2181.5625|1
27542|SO49317||Bikes|Road Bikes|94|Road-550-W Yellow, 38|1|1000.4375|1
27673|SO49444|200A-4484-AF|Components|Road Frames|133|ML Road Frame-W - Yellow, 48|2|324.4527|1
27674|SO49444|200A-4484-AF|Clothing|Shorts|147|Men's Sports Shorts, L|1|35.994|1
27707|SO49453|CED2-45E1-B6|Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|1242.8518|1
27718|SO49460|1373-4305-BC|Components|Road Frames|119|ML Road Frame-W - Yellow, 38|1|324.4527|1
27719|SO49460|1373-4305-BC|Bikes|Road Bikes|86|Road-250 Red, 44|1|1466.01|1
27720|SO49460|1373-4305-BC|Components|Wheels|117|HL Road Front Wheel|2|198.036|1
27724|SO49462|465B-44FE-80|Components|Road Frames|132|ML Road Frame-W - Yellow, 44|2|324.4527|1
27817|SO49468|DB7C-4159-88|Bikes|Mountain Bikes|84|Mountain-300 Black, 44|2|647.994|1
27818|SO49468|DB7C-4159-88|Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|3|1242.8518|1
27819|SO49468|DB7C-4159-88|Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|1229.4589|1
27820|SO49468|DB7C-4159-88|Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|4|1242.8518|1
27821|SO49468|DB7C-4159-88|Components|Mountain Frames|129|ML Mountain Frame - Black, 48|1|209.256|1
27822|SO49468|DB7C-4159-88|Bikes|Mountain Bikes|83|Mountain-300 Black, 40|7|647.994|1
27823|SO49468|DB7C-4159-88|Clothing|Gloves|160|Full-Finger Gloves, L|8|22.794|1
27824|SO49468|DB7C-4159-88|Bikes|Mountain Bikes|79|Mountain-200 Black, 38|2|1229.4589|1
27825|SO49468|DB7C-4159-88|Components|Wheels|121|ML Mountain Rear Wheel|2|141.615|1
27826|SO49468|DB7C-4159-88|Bikes|Mountain Bikes|85|Mountain-300 Black, 48|3|647.994|1
27827|SO49468|DB7C-4159-88|Components|Handlebars|106|ML Mountain Handlebars|1|33.7745|1
27828|SO49468|DB7C-4159-88|Bikes|Mountain Bikes|81|Mountain-200 Black, 46|6|1229.4589|1
27829|SO49468|DB7C-4159-88|Clothing|Gloves|159|Full-Finger Gloves, M|3|22.794|1
27830|SO49468|DB7C-4159-88|Bikes|Mountain Bikes|82|Mountain-300 Black, 38|3|647.994|1
27831|SO49468|DB7C-4159-88|Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|5|1242.8518|1
27832|SO49469|C4DC-4B15-A5|Components|Wheels|117|HL Road Front Wheel|1|198.036|1
27833|SO49469|C4DC-4B15-A5|Bikes|Road Bikes|65|Road-650 Black, 44|1|469.794|1
27883|SO49475|85E1-451D-82|Components|Wheels|123|LL Road Rear Wheel|1|67.539|1
27895|SO49477|09A8-4A2B-AC|Bikes|Road Bikes|59|Road-650 Red, 44|4|469.794|1
27896|SO49477|09A8-4A2B-AC|Bikes|Road Bikes|67|Road-650 Black, 52|4|469.794|1
27897|SO49477|09A8-4A2B-AC|Bikes|Road Bikes|58|Road-650 Red, 62|1|469.794|1
27898|SO49477|09A8-4A2B-AC|Bikes|Road Bikes|60|Road-650 Red, 48|2|469.794|1
27899|SO49477|09A8-4A2B-AC|Bikes|Road Bikes|62|Road-650 Black, 58|3|469.794|1
27900|SO49477|09A8-4A2B-AC|Bikes|Road Bikes|57|Road-650 Red, 60|1|469.794|1
27903|SO49479|12BA-4BD1-BB|Bikes|Road Bikes|91|Road-250 Black, 48|9|1308.9375|1
27904|SO49479|12BA-4BD1-BB|Accessories|Helmets|5|Sport-100 Helmet, Black|3|20.1865|1
27905|SO49479|12BA-4BD1-BB|Bikes|Road Bikes|59|Road-650 Red, 44|12|454.1342|2
27906|SO49479|12BA-4BD1-BB|Components|Road Frames|132|ML Road Frame-W - Yellow, 44|2|324.4527|1
27907|SO49479|12BA-4BD1-BB|Components|Road Frames|119|ML Road Frame-W - Yellow, 38|7|324.4527|1
27908|SO49479|12BA-4BD1-BB|Components|Road Frames|27|LL Road Frame - Red, 62|2|202.332|1
27909|SO49479|12BA-4BD1-BB|Accessories|Helmets|8|Sport-100 Helmet, Blue|3|20.1865|1
27910|SO49479|12BA-4BD1-BB|Accessories|Helmets|4|Sport-100 Helmet, Red|3|20.1865|1
27911|SO49479|12BA-4BD1-BB|Bikes|Road Bikes|90|Road-250 Black, 44|3|1308.9375|1
27912|SO49479|12BA-4BD1-BB|Bikes|Road Bikes|60|Road-650 Red, 48|3|469.794|1
27913|SO49479|12BA-4BD1-BB|Components|Road Frames|35|LL Road Frame - Black, 52|4|183.9382|1
27914|SO49479|12BA-4BD1-BB|Clothing|Jerseys|13|Long-Sleeve Logo Jersey, XL|6|28.8404|1
27915|SO49479|12BA-4BD1-BB|Clothing|Shorts|147|Men's Sports Shorts, L|4|35.994|1
27916|SO49479|12BA-4BD1-BB|Components|Road Frames|23|LL Road Frame - Red, 48|1|202.332|1
27917|SO49479|12BA-4BD1-BB|Bikes|Road Bikes|58|Road-650 Red, 62|7|469.794|1
27918|SO49479|12BA-4BD1-BB|Bikes|Road Bikes|57|Road-650 Red, 60|8|469.794|1
27919|SO49479|12BA-4BD1-BB|Bikes|Road Bikes|63|Road-650 Black, 60|6|469.794|1
27920|SO49479|12BA-4BD1-BB|Bikes|Road Bikes|98|Road-550-W Yellow, 48|8|600.2625|1
27921|SO49479|12BA-4BD1-BB|Bikes|Road Bikes|67|Road-650 Black, 52|7|469.794|1
